Data_Rebalanceamento,Data_Aplicacao,Tempo_Segundos
2022-04-12,2022-04-13,0.025252342224121094
2022-04-13,2022-04-14,0.024752378463745117
2022-04-14,2022-04-18,0.024928569793701172
2022-04-18,2022-04-19,0.025249004364013672
2022-04-19,2022-04-20,0.024978160858154297
2022-04-20,2022-04-22,0.025277376174926758
2022-04-22,2022-04-25,0.02508854866027832
2022-04-25,2022-04-26,0.02486729621887207
2022-04-26,2022-04-27,0.024727582931518555
2022-04-27,2022-04-28,0.03667140007019043
2022-04-28,2022-04-29,0.025238513946533203
2022-04-29,2022-05-02,0.025643110275268555
2022-05-02,2022-05-03,0.02467036247253418
2022-05-03,2022-05-04,0.04532361030578613
2022-05-04,2022-05-05,0.04742431640625
2022-05-05,2022-05-06,0.06972408294677734
2022-05-06,2022-05-09,0.025382518768310547
2022-05-09,2022-05-10,0.0253450870513916
2022-05-10,2022-05-11,0.05066800117492676
2022-05-11,2022-05-12,0.04505753517150879
2022-05-12,2022-05-13,0.03477597236633301
2022-05-13,2022-05-16,0.024927616119384766
2022-05-16,2022-05-17,0.024952411651611328
2022-05-17,2022-05-18,0.02484416961669922
2022-05-18,2022-05-19,0.025264739990234375
2022-05-19,2022-05-20,0.02728581428527832
2022-05-20,2022-05-23,0.04438900947570801
2022-05-23,2022-05-24,0.024377822875976562
2022-05-24,2022-05-25,0.025115489959716797
2022-05-25,2022-05-26,0.024167537689208984
2022-05-26,2022-05-27,0.024302005767822266
2022-05-27,2022-05-30,0.024416208267211914
2022-05-30,2022-05-31,0.024463891983032227
2022-05-31,2022-06-01,0.024489641189575195
2022-06-01,2022-06-02,0.02498626708984375
2022-06-02,2022-06-03,0.024384737014770508
2022-06-03,2022-06-06,0.02561497688293457
2022-06-06,2022-06-07,0.024502992630004883
2022-06-07,2022-06-08,0.024501562118530273
2022-06-08,2022-06-09,0.02453470230102539
2022-06-09,2022-06-10,0.024559497833251953
2022-06-10,2022-06-13,0.024369478225708008
2022-06-13,2022-06-14,0.024068355560302734
2022-06-14,2022-06-15,0.02421879768371582
2022-06-15,2022-06-17,0.024588584899902344
2022-06-17,2022-06-20,0.025526762008666992
2022-06-20,2022-06-21,0.024339675903320312
2022-06-21,2022-06-22,0.024260282516479492
2022-06-22,2022-06-23,0.024274110794067383
2022-06-23,2022-06-24,0.024295806884765625
2022-06-24,2022-06-27,0.024441003799438477
2022-06-27,2022-06-28,0.02500128746032715
2022-06-28,2022-06-29,0.02442479133605957
2022-06-29,2022-06-30,0.024100065231323242
2022-06-30,2022-07-01,0.026005268096923828
2022-07-01,2022-07-04,0.02466559410095215
2022-07-04,2022-07-05,0.024115800857543945
2022-07-05,2022-07-06,0.025092124938964844
2022-07-06,2022-07-07,0.02449774742126465
2022-07-07,2022-07-08,0.05662202835083008
2022-07-08,2022-07-11,0.0274198055267334
2022-07-11,2022-07-12,0.027164459228515625
2022-07-12,2022-07-13,0.02483654022216797
2022-07-13,2022-07-14,0.039458513259887695
2022-07-14,2022-07-15,0.04948782920837402
2022-07-15,2022-07-18,0.03232073783874512
2022-07-18,2022-07-19,0.025270938873291016
2022-07-19,2022-07-20,0.025249958038330078
2022-07-20,2022-07-21,0.026271581649780273
2022-07-21,2022-07-22,0.0253448486328125
2022-07-22,2022-07-25,0.02461409568786621
2022-07-25,2022-07-26,0.02534174919128418
2022-07-26,2022-07-27,0.026113271713256836
2022-07-27,2022-07-28,0.024726152420043945
2022-07-28,2022-07-29,0.02549004554748535
2022-07-29,2022-08-01,0.025742530822753906
2022-08-01,2022-08-02,0.025786399841308594
2022-08-02,2022-08-03,0.02589249610900879
2022-08-03,2022-08-04,0.02579331398010254
2022-08-04,2022-08-05,0.02538275718688965
2022-08-05,2022-08-08,0.026680707931518555
2022-08-08,2022-08-09,0.02548694610595703
2022-08-09,2022-08-10,0.02594590187072754
2022-08-10,2022-08-11,0.024914979934692383
2022-08-11,2022-08-12,0.026488304138183594
2022-08-12,2022-08-15,0.023778438568115234
2022-08-15,2022-08-16,0.02530193328857422
2022-08-16,2022-08-17,0.02429795265197754
2022-08-17,2022-08-18,0.025321245193481445
2022-08-18,2022-08-19,0.02417469024658203
2022-08-19,2022-08-22,0.024197101593017578
2022-08-22,2022-08-23,0.02465677261352539
2022-08-23,2022-08-24,0.024503469467163086
2022-08-24,2022-08-25,0.02470231056213379
2022-08-25,2022-08-26,0.024085283279418945
2022-08-26,2022-08-29,0.025069236755371094
2022-08-29,2022-08-30,0.02453780174255371
2022-08-30,2022-08-31,0.024872541427612305
2022-08-31,2022-09-01,0.02480459213256836
2022-09-01,2022-09-02,0.02402782440185547
2022-09-02,2022-09-05,0.024716854095458984
2022-09-05,2022-09-06,0.025146007537841797
2022-09-06,2022-09-08,0.0238797664642334
2022-09-08,2022-09-09,0.024683475494384766
2022-09-09,2022-09-12,0.024250268936157227
2022-09-12,2022-09-13,0.023734092712402344
2022-09-13,2022-09-14,0.02479720115661621
2022-09-14,2022-09-15,0.024364471435546875
2022-09-15,2022-09-16,0.024484872817993164
2022-09-16,2022-09-19,0.025034427642822266
2022-09-19,2022-09-20,0.024960756301879883
2022-09-20,2022-09-21,0.05666089057922363
2022-09-21,2022-09-22,0.027019023895263672
2022-09-22,2022-09-23,0.040375709533691406
2022-09-23,2022-09-26,0.051699161529541016
2022-09-26,2022-09-27,0.025235652923583984
2022-09-27,2022-09-28,0.024869918823242188
2022-09-28,2022-09-29,0.025569915771484375
2022-09-29,2022-09-30,0.025223493576049805
2022-09-30,2022-10-03,0.02535104751586914
2022-10-03,2022-10-04,0.02538919448852539
2022-10-04,2022-10-05,0.025325536727905273
2022-10-05,2022-10-06,0.025136709213256836
2022-10-06,2022-10-07,0.02565288543701172
2022-10-07,2022-10-10,0.025354623794555664
2022-10-10,2022-10-11,0.025114774703979492
2022-10-11,2022-10-13,0.025415897369384766
2022-10-13,2022-10-14,0.024421215057373047
2022-10-14,2022-10-17,0.0698394775390625
2022-10-17,2022-10-18,0.04881119728088379
2022-10-18,2022-10-19,0.03126096725463867
2022-10-19,2022-10-20,0.030818939208984375
2022-10-20,2022-10-21,0.025990009307861328
2022-10-21,2022-10-24,0.03560376167297363
2022-10-24,2022-10-25,0.025784969329833984
2022-10-25,2022-10-26,0.03754138946533203
2022-10-26,2022-10-27,0.03540778160095215
2022-10-27,2022-10-28,0.05277585983276367
2022-10-28,2022-10-31,0.032621145248413086
2022-10-31,2022-11-01,0.04611039161682129
2022-11-01,2022-11-03,0.029653549194335938
2022-11-03,2022-11-04,0.03020191192626953
2022-11-04,2022-11-07,0.029812335968017578
2022-11-07,2022-11-08,0.03017568588256836
2022-11-08,2022-11-09,0.030183076858520508
2022-11-09,2022-11-10,0.02518296241760254
2022-11-10,2022-11-11,0.025749921798706055
2022-11-11,2022-11-14,0.025374650955200195
2022-11-14,2022-11-16,0.029731035232543945
2022-11-16,2022-11-17,0.026020526885986328
2022-11-17,2022-11-18,0.025806665420532227
2022-11-18,2022-11-21,0.026419401168823242
2022-11-21,2022-11-22,0.02600860595703125
2022-11-22,2022-11-23,0.025379657745361328
2022-11-23,2022-11-24,0.025260210037231445
2022-11-24,2022-11-25,0.02555084228515625
2022-11-25,2022-11-28,0.02596449851989746
2022-11-28,2022-11-29,0.026317834854125977
2022-11-29,2022-11-30,0.02575540542602539
